id;location;source;encoding;identifier
1;bypass Right-sized;quantify Avon Profit-focused;Object-based sticky;8917
2;Granite Electronics Tunisian;Accounts cyan;Shores Shoes;20936
3;Bahamas utilisation Home;Unbranded Mozambique teal;connecting 5th;28867
4;Managed Cheese interactive;Program Loan pixel;logistical;10252
5;deposit;Steel Shilling;capacity Implemented;20918
6;up;e-commerce back-end;Branding magnetic;24514
7;Pants Intelligent global;plum Gloves New;Account;57682
8;Mouse;24/365 Solutions;mint Generic;26485
9;Serbia Tunisia auxiliary;implement invoice;Oregon Avon;11803
10;Baby synthesizing;Rustic Compatible Toys;Agent Bulgaria Officer;99333
